region,n_test,hss_baseline,features_baseline,hss_amm2,features_amm2,hss_amm23,features_amm23,hss_amm_only,features_amm_only,delta_amm2_vs_base,delta_amm23_vs_base,delta_amm_only_vs_base
addis_ababa,27,-0.032,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.111,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.015,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.043,"['amm_sst_jan', 'amm_sst_dec']",0.143,0.047,-0.011
afar,27,0.046,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.025,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.01,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.034,"['amm_sst_jan', 'amm_sst_dec']",-0.071,-0.056,-0.012
amhara,27,0.199,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.16,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.199,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.008,"['amm_sst_jan', 'amm_sst_dec']",-0.039,0.0,-0.191
benishangul_gumz,27,0.05,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.056,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.053,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.024,"['amm_sst_jan', 'amm_sst_dec']",0.006,-0.103,-0.074
dire_dawa,27,-0.021,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.096,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.127,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.085,"['amm_sst_jan', 'amm_sst_dec']",0.117,0.148,0.106
gambela,27,-0.067,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.147,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.05,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.006,"['amm_sst_jan', 'amm_sst_dec']",0.214,0.117,0.061
harari,27,-0.021,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.096,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.127,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.085,"['amm_sst_jan', 'amm_sst_dec']",0.117,0.148,0.106
oromia,27,-0.096,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.084,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.012,"['amm_sst_jan', 'amm_sst_dec']",0.012,0.096,0.108
sidama,27,-0.025,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.089,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.217,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.038,"['amm_sst_jan', 'amm_sst_dec']",-0.064,-0.192,-0.013
snnpr,27,-0.101,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.121,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.076,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.042,"['amm_sst_jan', 'amm_sst_dec']",-0.02,0.025,0.059
somali,27,0.1,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.051,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.012,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.032,"['amm_sst_jan', 'amm_sst_dec']",-0.151,-0.088,-0.068
south_west,27,0.16,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.143,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.1,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.006,"['amm_sst_jan', 'amm_sst_dec']",-0.017,-0.06,-0.166
tigray,27,-0.091,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.032,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.073,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.004,"['amm_sst_jan', 'amm_sst_dec']",0.123,0.018,0.087
AGGREGATE,351,0.0153,—,0.0458,—,0.0272,—,0.0171,—,0.03,0.012,0.002
