season,region,n_test,hss_lean,hss_ant,hss_aonly,hss_d,delta_ant,delta_aonly,delta_d_vs_b,delta_d_vs_c,lean_features,ant_features,d_features,hss_baseline,features_baseline,hss_amm2,features_amm2,hss_amm23,features_amm23,hss_amm_only,features_amm_only,delta_amm2_vs_base,delta_amm23_vs_base,delta_amm_only_vs_base,phase_f_choice,hss_phase_f,delta_phase_f_vs_base,pf_features
Kiremt,addis_ababa,27,-0.049,-0.092,-0.007,-0.049,-0.043,0.042,0.0,0.043,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,afar,27,0.071,0.013,-0.056,0.071,-0.058,-0.127,0.0,0.058,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,amhara,27,-0.043,0.044,0.241,0.044,0.087,0.284,0.087,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,benishangul_gumz,27,0.371,0.471,-0.019,0.471,0.1,-0.39,0.1,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,dire_dawa,27,0.024,-0.008,0.149,0.024,-0.032,0.125,0.0,0.032,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,gambela,27,-0.043,0.012,-0.218,0.012,0.055,-0.175,0.055,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,harari,27,0.024,0.102,0.065,0.102,0.078,0.041,0.078,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,oromia,27,-0.111,-0.118,-0.111,-0.111,-0.007,0.0,0.0,0.007,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,sidama,27,-0.13,-0.139,-0.076,-0.13,-0.01,0.054,0.0,0.01,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,snnpr,27,0.077,-0.012,0.344,0.077,-0.089,0.267,0.0,0.089,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,somali,27,-0.004,0.206,0.133,0.206,0.21,0.137,0.21,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,south_west,27,0.025,0.0,0.034,0.025,-0.025,0.008,0.0,0.025,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,tigray,27,0.106,0.024,0.061,0.106,-0.081,-0.044,0.0,0.081,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,AGGREGATE,351,0.0272,0.0431,0.035,0.0634,0.0159,0.0078,0.0363,0.0204,—,—,—,,,,,,,,,,,,,,,
Belg,addis_ababa,27,,,,,,,,,,,,-0.032,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.111,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.015,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.043,"['amm_sst_jan', 'amm_sst_dec']",0.143,0.047,-0.011,AMM2,0.111,0.143,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,afar,27,,,,,,,,,,,,0.046,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.025,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.01,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.034,"['amm_sst_jan', 'amm_sst_dec']",-0.071,-0.056,-0.012,BASELINE,0.046,-0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']"
Belg,amhara,27,,,,,,,,,,,,0.199,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.16,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.199,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.008,"['amm_sst_jan', 'amm_sst_dec']",-0.039,0.0,-0.191,BASELINE,0.199,0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']"
Belg,benishangul_gumz,27,,,,,,,,,,,,0.05,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.056,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.053,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.024,"['amm_sst_jan', 'amm_sst_dec']",0.006,-0.103,-0.074,AMM2,0.056,0.006,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,dire_dawa,27,,,,,,,,,,,,-0.021,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.096,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.127,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.085,"['amm_sst_jan', 'amm_sst_dec']",0.117,0.148,0.106,AMM2,0.096,0.117,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,gambela,27,,,,,,,,,,,,-0.067,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.147,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.05,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.006,"['amm_sst_jan', 'amm_sst_dec']",0.214,0.117,0.061,AMM2,0.147,0.214,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,harari,27,,,,,,,,,,,,-0.021,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.096,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.127,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.085,"['amm_sst_jan', 'amm_sst_dec']",0.117,0.148,0.106,AMM2,0.096,0.117,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,oromia,27,,,,,,,,,,,,-0.096,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.084,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.012,"['amm_sst_jan', 'amm_sst_dec']",0.012,0.096,0.108,AMM2,-0.084,0.012,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,sidama,27,,,,,,,,,,,,-0.025,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.089,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.217,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.038,"['amm_sst_jan', 'amm_sst_dec']",-0.064,-0.192,-0.013,BASELINE,-0.025,-0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']"
Belg,snnpr,27,,,,,,,,,,,,-0.101,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.121,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.076,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.042,"['amm_sst_jan', 'amm_sst_dec']",-0.02,0.025,0.059,BASELINE,-0.101,0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']"
Belg,somali,27,,,,,,,,,,,,0.1,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",-0.051,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.012,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",0.032,"['amm_sst_jan', 'amm_sst_dec']",-0.151,-0.088,-0.068,BASELINE,0.1,0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']"
Belg,south_west,27,,,,,,,,,,,,0.16,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.143,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",0.1,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.006,"['amm_sst_jan', 'amm_sst_dec']",-0.017,-0.06,-0.166,BASELINE,0.16,-0.0,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']"
Belg,tigray,27,,,,,,,,,,,,-0.091,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1']",0.032,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']",-0.073,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan', 'amm_sst_dec']",-0.004,"['amm_sst_jan', 'amm_sst_dec']",0.123,0.018,0.087,AMM2,0.032,0.123,"['atlantic_lag1', 'atlantic_lag2', 'enso_lag1', 'iod_lag1', 'pdo_lag1', 'amm_sst_jan']"
Belg,AGGREGATE,351,,,,,,,,,,,,0.0153,—,0.0458,—,0.0272,—,0.0171,—,0.0305,0.0119,0.0018,—,0.0707,0.0554,—
